id,imdbId
862,114709
8844,113497
15602,113228
31357,114885
11862,113041
949,113277
11860,114319
45325,112302
9091,114576
710,113189
9087,112346
12110,112896
21032,112453
10858,113987
1408,112760
524,112641
4584,114388
5,113101
9273,112281
11517,113845
8012,113161
1710,112722
9691,112401
12665,114168
451,113627
16420,114057
9263,114011
17015,114117
902,112682
37557,115012
9909,112792
63,114746
78802,114952
9598,112431
47018,112637
687,112818
139405,112286
33689,113442
9603,112697
34615,112749
31174,114279
11443,112819
35196,114272
9312,113855
577,114681
11861,113347
807,114369
10530,114148
8391,114916
629,114814
117164,109950
11448,113819
49133,110299
26441,112499
97406,113158
124057,113541
9089,113321
11010,110877
99040,112714
11359,113419
17182,116260
2054,113862
10607,116126
19760,118002
9536,115683
11525,116839
40628,114753
4482,113149
10634,113118
755,116367
11859,113010
28387,113537
48750,113828
20927,115644
36929,115676
9102,114367
124626,113973
27526,112744
9623,116731
46785,112445
400,114660
880,112379
146599,114039
188588,113612
8447,112365
10534,118158
17414,116151
13997,115697
2086,113972
61548,113490
9095,117002
12158,114825
9283,115639
9208,115759
40154,113403
406,113247
45549,111173
63076,113283
11062,115907
13685,115734
47475,117102
2045,118040
9614,116483
688,112579
11907,110251
10874,117110
89333,112646
96357,113276
197,112573
103,75314
33542,113326
43566,115645
71754,113774
43612,112556
51352,112373
16934,115033
10324,116606
78406,114536
55731,117427
32119,106473
11066,103859
11104,109424
37975,114808
2074,116324
27793,110647
44284,111055
290157,110217
110972,114131
32622,112364
73067,113107
11863,113451
55475,114015
124636,114500
9101,116130
123360,113125
5757,113756
39428,113952
124639,114618
9302,118055
11000,115685
249882,113200
16388,112585
9737,112442
30765,112342
10474,112461
22279,112427
30157,109093
568,112384
11780,114287
34996,112288
414,112462
649,61395
1873,112495
5894,112541
1775,109370
8839,112642
20649,112688
10329,112715
8963,112740
26564,109508
8068,112851
8512,112857
1572,112864
13552,112887
259209,113044
6520,113071
9073,113114
10428,113243
17447,113464
9886,113481
9482,113492
19326,113500
9344,113540
9071,113677
8973,113690
15730,107447
47608,113729
2293,113749
9070,113820
68274,113851
48787,110604
34574,110620
1642,113957
11472,113986
36196,114095
11980,114194
58372,114241
32646,114323
10533,114345
56088,114435
10802,114436
10149,114478
18402,114496
9348,114508
139408,114534
281,114558
5967,58450
79593,114666
47939,114663
36834,114702
9090,114682
3512,114781
52856,114798
77350,114805
9560,114887
9804,114898
31611,114928
65796,114938
49805,109340
26258,112602
50797,111579
19155,110882
76,112471
11017,112508
37141,112438
9382,112571
6715,112757
18256,112643
22625,112679
2292,109445
1909,112883
8984,109635
61813,112899
4954,109676
62488,112854
10531,109579
11929,109642
8467,109686
10451,111797
20156,109759
18395,109758
522,109707
397,113117
10525,113097
27985,113028
15789,113198
27303,113303
21183,113089
10954,109771
47867,113199
43475,113234
72031,109906
14275,110057
1024,110005
17207,110066
13701,110116
14819,110006
32631,113360
11777,110099
628,110148
87729,113463
18713,110189
6280,110216
9061,113501
37108,113538
6071,113552
11,76759
9587,110367
19101,113670
49980,110296
17961,109731
18183,103994
4476,110322
11008,110443
47504,110365
32325,107566
43742,110391
28313,113691
11318,110428
3036,109836
40490,113755
24070,110538
8986,110516
10510,110527
17402,113808
38722,113896
8438,113870
11593,110684
1945,110638
39310,113967
109560,117169
56428,106402
63105,113948
131957,110671
241,110632
9058,110737
527,110729
18220,114151
6950,114069
101,110413
63020,114113
2307,114210
680,110912
41478,114084
25296,105652
40156,110889
11450,110932
30304,114129
10452,110963
12106,114214
161495,114296
3586,110907
110,111495
108,108394
109,111507
159185,110769
36357,114268
92769,110965
28033,114571
22586,111333
14334,111112
2636,111255
2164,111282
11395,111070
278,111161
9905,111149
87078,108260
12527,106966
20306,114594
36614,111309
27993,113936
31439,110081
9067,114614
9059,114608
193,111280
25066,114609
46797,111454
12122,114852
11381,114694
32636,111590
36141,114788
95963,114888
1587,108550
9271,114857
2064,114924
19855,111667
60855,109655
236,110598
48287,112435
3049,109040
2759,109045
12635,106339
10497,104779
11382,109348
9331,109444
10731,109446
10464,109484
34152,109504
9495,109506
29973,109450
888,109813
13,109830
712,109831
16295,113305
48992,110091
10879,110093
10660,110167
10714,110213
41647,107472
8587,110357
1689,107426
11596,111686
854,110475
9359,110478
23333,110588
36593,110622
12280,110771
2788,110950
10427,105226
11011,110989
49803,111054
8987,110997
1637,111257
15128,111256
8831,111438
